,,,,,tRun,pBrakeTotal,rPedal,vCar
15.00139713,0.548783086,0,49.50272415,,,,,
15.07975006,0.461250938,0,46.96384411,,,,,
15.16143417,0.34793875,0,44.80363504,,,,,
15.24426174,0.09751416,0,43.22006697,,,,,
15.32673836,0,100,43.58955062,,,,,
15.40896225,0,100,43.58955062,,,,,
15.48957539,0,100,43.85636712,,,,,
15.56642151,0,100,45.33727834,,,,,
15.63845539,0,100,48.22920717,,,,,
15.70606995,0,100,51.58807862,,,,,
15.77007866,0,100,54.75189826,,,,,
15.83115482,0,100,57.57936144,,,,,
15.88977718,0,100,60.14661707,,,,,
15.94630623,0,100,62.50488545,,,,,
16.00101852,0,100,64.69074415,,,,,
16.05414009,0,100,66.72791674,,,,,
16.10585594,0,100,68.62489017,,,,,
16.15631294,0,100,70.40807279,,,,,
16.20563507,0,100,72.09247467,,,,,
16.25392342,0,100,73.68988551,,,,,
16.30126381,0,100,75.21248637,,,,,
16.34773445,0,100,76.66780976,,,,,
16.39339828,0,100,78.0603738,,,,,
16.43831825,0,100,79.39449749,,,,,
16.48254395,0,100,80.67376511,,,,,
16.52612495,0,100,81.90282526,,,,,
16.56909943,0,100,83.08570166,,,,,
16.6115036,0,100,84.22678885,,,,,
16.65337181,0,100,85.33285715,,,,,
16.69473457,0,100,86.40193588,,,,,
16.73561478,0,100,87.4366343,,,,,
16.77604294,0,100,88.44344807,,,,,
16.81663895,0.057614204,0,89.41191959,,,,,
16.85816002,0.67303875,0,87.70312121,,,,,
16.90078926,0.763570938,0,85.46556502,,,,,
16.94460106,0.754813984,0,83.20280209,,,,,
16.98967743,0.745971172,0,80.91321194,,,,,
17.03611565,0.736957031,0,78.59408233,,,,,
17.0840168,0.727970156,0,76.24375157,,,,,
17.13350487,0.719033125,0,73.8576054,,,,,
17.18471909,0.710099531,0,71.43303459,,,,,
17.23781776,0.701290625,0,68.96454596,,,,,
17.29298401,0.690902734,0,66.44745661,,,,,
17.35042763,0.677970078,0,63.8866623,,,,,
17.41038704,0.664037891,0,61.28401698,,,,,
17.47315025,0.65030918,0,58.63340951,,,,,
17.53906441,0.63612918,0,55.92624653,,,,,
17.60852814,0.617997031,0,53.15891972,,,,,
17.68197441,0.591170156,0,50.35127999,,,,,
17.75984192,0.554561172,0,47.54713527,,,,,
17.84258461,0.512196563,0,44.79118617,,,,,
17.93066597,0.466697891,0,42.10624645,,,,,
18.02446175,0.414619219,0,39.52623638,,,,,
18.12401962,0.347281328,0,37.13045659,,,,,
18.22811317,0.231719355,0,35.09143349,,,,,
18.33331108,0.042801924,0,33.98298597,,,,,
18.43792152,0,100,34.36637418,,,,,
18.54181099,0,100,34.36637418,,,,,
18.64149284,0,100,34.84313924,,,,,
18.73549461,0,100,37.28853943,,,,,
18.8290062,0,100,39.20136062,,,,,
18.9272995,0.290349395,0,37.68944052,,,,,
19.03083992,0.277186914,0,35.46091714,,,,,
19.13605881,0.072359351,0,33.98298597,,,,,
19.2407093,0,100,34.35246619,,,,,
19.34444046,0,100,34.35467718,,,,,
19.44484329,0,100,34.96052463,,,,,
19.53957558,0,100,36.65357137,,,,,
19.62741852,0,100,39.24635647,,,,,
19.70809174,0,100,42.60580469,,,,,
19.78232765,0,100,46.52103021,,,,,
19.85185051,0,100,50.33572404,,,,,
19.92074966,0,100,53.08750521,,,,,
19.99291801,0.496372969,0,51.26862392,,,,,
20.06964684,0.600773242,0,48.3622412,,,,,
20.15173721,0.584772031,0,45.34820972,,,,,
20.24014091,0.558766211,0,42.2406263,,,,,
20.335886,0.517484844,0,39.09280205,,,,,
20.4399395,0.459601055,0,36.00401897,,,,,
20.55321884,0.396975391,0,33.0974749,,,,,
20.67702103,0.349002813,0,30.37589237,,,,,
20.81315422,0.311122773,0,27.70176731,,,,,
20.95843506,0.182708242,0,25.11538346,,,,,
21.1037159,0,100,24.37641788,,,,,
21.24685097,0,100,25.11538346,,,,,
21.387537,0,100,25.11838582,,,,,
21.51939583,0,100,25.98913574,,,,,
21.63731384,0,100,28.5404801,,,,,
21.74074364,0,100,32.43587531,,,,,
21.83449745,0,100,37.08231592,,,,,
21.92894173,0.028322502,0,39.60898397,,,,,
22.03131104,0.458505664,0,36.52327362,,,,,
