vCar,NGear,gLong,gLat,sRun,tRun,aSteerNeutral,xCar,yCar,gSum,rPedal
37.86841796254563,1,0.277990222,-17.2066116333,126.8955612183,9.6980361938,-12.54593052570412,-50.84815979,33.0917129517,17.2088565826,100
37.86841796254563,1,0.2069338709,-16.0224971771,127.894744873,9.7928466797,-11.707537610253945,-49.851108551,33.0495109558,16.0238342285,100
38.0096779968176,1,2.17937994,-14.5447778702,128.8939208984,9.8858652115,-10.509801614245559,-48.8693084717,32.8727874756,14.7071504593,100
39.33069019972783,1,4.2039556503,-14.3143310547,129.8930969238,9.9756746292,-9.277767820310737,-47.91614151,32.5789718628,14.9188909531,100
40.77363338133329,1,-0.0869661421,-12.283873558,130.8922729492,10.0655469894,-7.767995485383664,-46.9994926453,32.185836792,12.2841806412,100
39.27337937849649,1,-7.3844218254,-6.890086174,131.8914489746,10.161403656,-5.0631949014217925,-46.1230278015,31.7094078064,10.0996522903,0
35.7770347482522,1,-9.8196706772,-0.8768540621,132.890625,10.2673091888,-0.7784279089160732,-45.277721405,31.1771831512,9.8587417603,0
32.15223257889394,1,-8.687087059,4.3966927528,133.8898010254,10.3853178024,4.8215884827370905,-44.4366340637,30.6353263855,9.7363443375,0
28.810218269625377,1,-5.9225792885,9.185051918,134.8889923096,10.5143060684,12.377780659617448,-43.5687942505,30.1348743439,10.9289579391,0
26.96280000863999,1,-0.963360548,13.6036214828,135.888168335,10.6453609467,20.35684948235511,-42.6426353455,29.7537441254,13.6376895905,0
27.930792589045925,1,1.0287790298,19.7830085754,136.8873443604,10.7741384506,22.73171991741126,-41.6548995972,29.624961853,19.8097400665,100
27.933503120117503,1,1.5412909985,14.6142015457,137.8865203857,10.8997802734,17.19447018704841,-40.6782722473,29.8081493378,14.6952533722,100
29.325140190367843,1,6.5312848091,8.6222810745,138.8856964111,11.0143890381,8.86897075283208,-39.7554702759,30.1803684235,10.8167190552,100
33.44522966793626,1,10.8734588623,2.9776482582,139.8848724365,11.1154718399,2.3258444017720437,-38.8697509766,30.6373748779,11.2737960815,100
37.725049928720054,1,6.0254540443,-3.6306855679,140.8840484619,11.2106952667,-2.4180965655491757,-37.9932823181,31.1148872375,7.0347690582,100
37.824404020836774,1,-3.1748864651,-7.5185046196,141.8832244873,11.308836937,-5.797338633062041,-37.1010932922,31.5646038055,8.1613607407,0
