,,,,Lap #,Time,Velocity
1,40.68003464,34.72194984,,,,
1,40.78347015,34.7241368,,,,
1,40.88447571,34.79120142,,,,
1,40.97888184,36.39274585,,,,
1,41.06491852,39.77063736,,,,
1,41.14502335,43.80290838,,,,
1,41.22566605,45.95353875,,,,
1,41.31129456,43.20713401,,,,
1,41.40167236,40.76234837,,,,
1,41.49614716,38.79797044,,,,
1,41.59347153,37.3083354,,,,
1,41.69178009,36.5693681,,,,
1,41.78959274,36.5693681,,,,
1,41.8869133,36.94069883,,,,
1,41.9838829,36.94069883,,,,
1,42.0785408,37.20969199,,,,
1,42.16889191,38.75048894,,,,
1,42.25930023,40.82963271,,,,
1,42.35595322,38.70085138,,,,
1,42.46039963,35.68837515,,,,
1,42.57242966,33.15322703,,,,
1,42.69185638,31.02711675,,,,
1,42.81584549,29.17970192,,,,
1,42.93901443,28.81021827,,,,
1,43.06059647,29.56765976,,,,
1,43.18090057,29.57021751,,,,
1,43.29479218,30.19624888,,,,
1,43.39942169,32.93671071,,,,
1,43.50182724,35.78283346,,,,
1,43.61037064,34.4309291,,,,
1,43.72755051,31.81167041,,,,
1,43.85153961,29.54918557,,,,
1,43.97751999,28.44073462,,,,
1,44.10307693,28.63322523,,,,
1,44.22710037,28.63322523,,,,
1,44.3440361,29.34040431,,,,
1,44.45035934,32.14896415,,,,
1,44.55274582,35.47754082,,,,
1,44.66017914,34.74666219,,,,
1,44.77613831,32.18021679,,,,
1,44.90192795,29.82701586,,,,
1,45.03806305,27.33228366,,,,
1,45.17913055,25.48486712,,,,
1,45.31780243,25.48486712,,,,
1,45.45414352,26.36638878,,,,
1,45.58728409,26.36925037,,,,
1,45.70954895,27.63619615,,,,
1,45.81711197,31.17234216,,,,
2,45.90440365,38.463001,,,,
2,45.98246373,43.90674283,,,,
2,46.05434096,48.20427166,,,,
2,46.12163487,51.8301141,,,,
2,46.18819883,55.0174788,,,,
2,46.25762722,53.00183939,,,,
2,46.33043307,50.56088179,,,,
2,46.40684247,48.19760777,,,,
2,46.48711556,45.90326948,,,,
2,46.5715369,43.66840836,,,,
2,46.66034383,41.50191649,,,,
2,46.75355315,39.46242304,,,,
2,46.85039449,37.67781906,,,,
2,46.9484477,36.5693681,,,,
2,47.04624367,36.76014553,,,,
2,47.14362252,36.76221577,,,,
2,47.2380749,37.07510958,,,,
2,47.32593596,39.04991421,,,,
2,47.40612924,42.78609019,,,,
2,47.4826591,46.8747382,,,,
2,47.56147897,47.07799197,,,,
2,47.64541602,44.14515626,,,,
2,47.73413801,41.51659353,,,,
2,47.8263886,39.52523388,,,,
2,47.91950727,38.41678293,,,,
2,48.01216531,38.79858499,,,,
2,48.10428357,38.80055223,,,,
2,48.19370532,39.25343578,,,,
2,48.27785468,41.15426471,,,,
2,48.35588717,44.29137044,,,,
2,48.42904377,47.85207086,,,,
2,48.5010457,50.43307657,,,,
2,48.57597089,49.42787641,,,,
2,48.65563083,46.53721443,,,,
2,48.74038839,43.72392704,,,,
2,48.83025026,41.10835563,,,,
2,48.9245925,38.90554711,,,,
2,49.02047944,37.3083354,,,,
2,49.11589646,37.67781906,,,,
2,49.21071363,37.67781906,,,,
2,49.30281544,38.15420989,,,,
2,49.38966727,39.91381313,,,,
2,49.47015738,42.87311214,,,,
2,49.54459643,46.45698684,,,,
2,49.61399484,50.1345817,,,,
2,49.679461,53.47301173,,,,
2,49.74373865,56.3575969,,,,
2,49.80953074,55.50374702,,,,
2,49.87714672,53.78278817,,,,
2,49.94610119,52.55634071,,,,
2,50.01561403,51.7181841,,,,
2,50.08500338,51.7181841,,,,
2,50.15426779,51.90325552,,,,
2,50.22340536,51.90474554,,,,
2,50.29203939,52.09340468,,,,
2,50.35969353,52.66781065,,,,
2,50.42589378,53.61122306,,,,
2,50.4901042,55.00108172,,,,
2,50.55189943,56.97764759,,,,
2,50.61242056,59.37748546,,,,
2,50.67431164,59.42700629,,,,
2,50.73915911,56.74783783,,,,
2,50.80710745,54.1306734,,,,
2,50.8781147,51.68813652,,,,
2,50.9517889,49.57162553,,,,
2,51.02664995,48.02335102,,,,
2,51.10131502,48.02335102,,,,
2,51.17578411,48.27631789,,,,
2,51.24931526,48.27631789,,,,
