vCar,gLong,gLat,sRun,tRun,IDraw,RInternal,rSoc,ECapacity,QCellDischarge,VCell,VBattery,xCar,yCar
71.80119988336008,-1.368072629,8.818400383,404.8646850586,17.7284183502,0,0.1394298822,0.9558995366,7101.5888671875,0,0,590.2156982422,-9377337,5170897.5
79.57817501529998,4.5465979576,21.6088428497,409.8630065918,17.9545288086,144.3488006592,0.1394298822,0.9552010298,7096.3994140625,0,0,552.26953125,-9377339,5170893
79.58325618803504,-3.2935612202,10.2126579285,414.861328125,18.1888160706,0,0.1394503266,0.9552010298,7096.3994140625,0,0,590.208984375,-9377340,5170888
74.0221667345866,-2.7638180256,-10.2829809189,419.8596801758,18.430393219,0,0.1394503266,0.9552010298,7096.3994140625,0,0,590.208984375,-9377340,5170883
74.94900696599443,0.532864511,-21.3876743317,424.858001709,18.6704769135,144.3506469727,0.1394503266,0.9545172453,7091.3198242188,0,0,552.2623901367,-9377340,5170878
74.94900696599443,1.9081267118,-11.4500923157,429.8563232422,18.9054965973,144.8586730957,0.1394703239,0.9538550973,7086.400390625,0,0,552.1436767578,-9377343,5170873.5
78.17783128721496,5.6024932861,2.9929141998,434.8546447754,19.1272945404,144.8898162842,0.1394896954,0.9532334208,7081.7817382812,0,0,552.1304321289,-9377345,5170869.5
84.07753970220824,3.8788576126,13.7564210892,439.8529968262,19.3409500122,144.8932952881,0.1395078897,0.9526136518,7077.177734375,0,0,552.1237182617,-9377348,5170865
84.36134379648495,1.4197460413,16.3403587341,444.8513183594,19.5519008636,144.8950653076,0.1395260096,0.9519721866,7072.412109375,0,0,552.1173706055,-9377349,5170860.5
86.23750501515599,1.9379733801,18.0357189178,449.8496398926,19.7592945099,144.8967285156,0.139544785,0.951338172,7067.7016601562,0,0,552.1108398438,-9377351,5170855.5
87.28682897421682,0.705904901,20.0822925568,454.8479919434,19.9654369354,144.8984527588,0.139563337,0.9507166743,7063.0844726562,0,0,552.104309082,-9377351,5170850.5
87.29155995795203,1.7178438902,15.9103918076,459.8463134766,20.1686534882,144.9001464844,0.1395815164,0.9501114488,7058.587890625,0,0,552.0979614258,-9377351,5170845.5
89.80036837582529,4.0323839188,7.7799057961,464.8446350098,20.3654327393,144.9018096924,0.139599219,0.9495266676,7054.2431640625,0,0,552.091796875,-9377350,5170840.5
93.08415175931859,2.9223880768,-3.7464687824,469.842956543,20.5578765869,144.9034423828,0.1396163255,0.9489468336,7049.9360351562,0,0,552.0858154297,-9377348,5170836
93.9219616056707,2.2998201847,-12.431350708,474.8413085938,20.747133255,144.9050140381,0.1396332979,0.9483670592,7045.6284179688,0,0,552.0798950195,-9377347,5170831
96.23186957822433,1.6951583624,-14.7639951706,479.839630127,20.9341182709,144.9065704346,0.1396502554,0.9477872252,7041.3208007812,0,0,552.0739746094,-9377346,5170826
96.23186957822433,0,-11.2475013733,484.8379516602,21.1211032867,144.9081268311,0.139667213,0.9472074509,7037.0131835938,0,0,552.0680541992,-9377346,5170821
96.23186957822433,0,-5.7239246368,489.8362731934,21.30809021,144.9096832275,0.1396841854,0.9466276169,7032.7060546875,0,0,552.0621337891,-9377346,5170816
96.23186957822433,0,-2.3118934631,494.8346252441,21.4950752258,144.9112243652,0.1397011429,0.9460477829,7028.3984375,0,0,552.0562133789,-9377347,5170811
96.23186957822433,0,-2.6885108948,499.8329467773,21.6820602417,144.9127807617,0.1397181153,0.9454680085,7024.0908203125,0,0,552.0502929688,-9377347,5170806
96.23186957822433,0,-4.7655658722,504.8312683105,21.8690471649,144.9143371582,0.1397350729,0.9448881745,7019.783203125,0,0,552.0443725586,-9377348,5170801
96.23186957822433,0,-5.2402291298,509.8295898438,22.0560321808,144.9158935547,0.1397520304,0.9443083405,7015.4755859375,0,0,552.0384521484,-9377348,5170796.5
96.23186957822433,0,-3.3977067471,514.8279418945,22.2430171967,144.9174499512,0.1397690028,0.9437285066,7011.16796875,0,0,552.0325317383,-9377349,5170791.5
96.23186957822433,0,-0.6482541561,519.8262329102,22.4300022125,144.9190063477,0.1397859603,0.9431486726,7006.8603515625,0,0,552.0266113281,-9377350,5170786.5
96.23186957822433,0,1.7893431187,524.8245849609,22.6169891357,144.9205627441,0.1398029327,0.9425688386,7002.5522460938,0,0,552.020690918,-9377351,5170781.5
