a0,a1,a2,a3,a4,p0,p1,p2,p3,p4,v_final,maxSlip
22.5,248.333333333333,-583.333333333332,666.666666666665,-266.666666666666,22.5,57.5,67.5,77.5,87.5,6.77727331320649,0.405279014517412
35,169.166666666667,-474.999999999999,733.333333333332,-399.999999999999,35,57.5,67.5,77.5,62.5,6.76499028306864,0.492812886408578
22.5,260.833333333333,-674.999999999999,866.666666666665,-399.999999999999,22.5,57.5,67.5,77.5,75,6.76423541527644,0.32785468239845
22.5,394.166666666666,-1075,1133.33333333333,-399.999999999999,22.5,70,67.5,65,75,6.75815045236289,0.337443661651908
10,739.999999999999,-2966.66666666666,4399.99999999999,-2133.33333333333,10,70,55,77.5,50,6.75591405817168,0.19661139012846
10,485.833333333333,-1275,1266.66666666666,-399.999999999999,10,70,67.5,65,87.5,6.75319525452003,0.173955299855371
22.5,135.833333333333,91.6666666666667,-333.333333333333,133.333333333333,22.5,57.5,80,77.5,50,6.74093852821622,0.319026996155953
10,227.5,-108.333333333333,-200,133.333333333333,10,57.5,80,77.5,62.5,6.74087856180962,0.152602800408374
22.5,269.166666666667,-308.333333333333,-66.6666666666669,133.333333333333,22.5,70,80,65,50,6.73514571654327,0.328617458849266
10,360.833333333333,-508.333333333332,66.6666666666654,133.333333333334,10,70,80,65,62.5,6.73482333665942,0.163462013481738
35,48.3333333333337,816.666666666665,-2133.33333333333,1333.33333333333,35,70,80,52.5,100,6.73431186039208,0.484531407141467
35,-84.9999999999997,1216.66666666666,-2400,1333.33333333333,35,57.5,80,65,100,6.71697583572612,0.474967067225095
28.75,221.25,-620.833333333332,899.999999999999,-466.666666666666,28.75,57.5,67.5,77.5,62.5,6.71643555374242,0.410852983934436
16.25,312.916666666666,-820.833333333332,1033.33333333333,-466.666666666666,16.25,57.5,67.5,77.5,75,6.71582472344431,0.245354355180854
28.75,479.583333333333,-1787.5,2366.66666666666,-999.999999999998,28.75,70,55,65,87.5,6.71492811611491,0.429230166354639
28.75,354.583333333333,-1020.83333333333,1166.66666666666,-466.666666666666,28.75,70,67.5,65,62.5,6.71062787105909,0.420422644123179
16.25,446.25,-1220.83333333333,1300,-466.666666666665,16.25,70,67.5,65,75,6.70965417065103,0.254971237456031
16.25,187.916666666667,-54.1666666666664,-166.666666666667,66.6666666666669,16.25,57.5,80,77.5,50,6.69257448643021,0.236500556460143
16.25,321.25,-454.166666666666,99.9999999999989,66.6666666666671,16.25,70,80,65,50,6.68673111817792,0.246119174507805
28.75,100.416666666667,670.833333333332,-1966.66666666666,1266.66666666667,28.75,70,80,52.5,100,6.68508449715242,0.402565902526814
