a0,a1,a2,a3,a4,p0,p1,p2,p3,p4,v_final,maxSlip
32.3333333333333,407,-1239.33333333333,1530.66666666666,-650.666666666665,32.3333333333333,78,76.6666666666667,80.3333333333333,80,7.84206636286261,0.473290165624673
31,440.555555555555,-1430.88888888889,1900.44444444444,-871.111111111109,31,78,76.6666666666667,82.6666666666667,70,7.84060388634086,0.45738107126186
31,476.333333333333,-1509.55555555555,1882.66666666666,-807.111111111109,31,82,76.6666666666667,78,73.3333333333333,7.84003043936983,0.459959575175967
32.3333333333333,373.666666666666,-1034.88888888889,1210.66666666666,-508.444444444443,32.3333333333333,78,80,80.3333333333333,73.3333333333333,7.83636902416988,0.470942636350067
33.6666666666667,457.444444444444,-1471.77777777778,1864.88888888889,-814.22222222222,33.6666666666667,82,76.6666666666667,78,70,7.83519202436371,0.495153921671887
31,418.111111111111,-1270.44444444444,1566.22222222222,-664.888888888888,31,78,76.6666666666667,80.3333333333333,80,7.83171355869602,0.455809562158893
33.6666666666667,399.222222222222,-1232.66666666667,1548.44444444444,-671.999999999998,33.6666666666667,78,76.6666666666667,80.3333333333333,76.6666666666667,7.82721527100985,0.491004528360428
31,384.777777777778,-1066,1246.22222222222,-522.666666666666,31,78,80,80.3333333333333,73.3333333333333,7.82602127688747,0.453461752849418
32.3333333333333,468.555555555555,-1502.88888888889,1900.44444444444,-828.444444444443,32.3333333333333,82,76.6666666666667,78,70,7.82483013388795,0.477672824232358
33.6666666666667,365.888888888889,-1028.22222222222,1228.44444444444,-529.777777777777,33.6666666666667,78,80,80.3333333333333,70,7.82115695497336,0.488657103012869
32.3333333333333,410.333333333333,-1263.77777777778,1584,-686.222222222221,32.3333333333333,78,76.6666666666667,80.3333333333333,76.6666666666667,7.81686003609192,0.473523280870399
31,479.666666666666,-1534,1936,-842.666666666665,31,82,76.6666666666667,78,70,7.81447055324584,0.460192711352472
33.6666666666667,343.444444444444,-867.777777777777,894.222222222221,-323.555555555555,33.6666666666667,78,80,78,80,7.81230840727637,0.487085822874589
32.3333333333333,377,-1059.33333333333,1264,-543.999999999999,32.3333333333333,78,80,80.3333333333333,70,7.810806004707,0.47117575413944
33.6666666666667,435.888888888889,-1461.55555555555,1921.77777777778,-849.777777777777,33.6666666666667,78,73.3333333333333,80.3333333333333,80,7.80751934143622,0.493585044820204
31,421.444444444444,-1294.88888888889,1619.55555555555,-700.444444444443,31,78,76.6666666666667,80.3333333333333,76.6666666666667,7.80650685863922,0.456042704640841
32.3333333333333,354.555555555555,-898.888888888888,929.777777777776,-337.777777777777,32.3333333333333,78,80,78,80,7.80196031192901,0.469604399436068
33.6666666666667,402.555555555555,-1257.11111111111,1601.77777777778,-707.555555555554,33.6666666666667,78,76.6666666666667,80.3333333333333,73.3333333333333,7.80177397503691,0.491237633936272
31,388.111111111111,-1090.44444444444,1299.55555555555,-558.222222222221,31,78,80,80.3333333333333,70,7.80045717413704,0.453694899017417
32.3333333333333,447,-1492.66666666667,1957.33333333333,-863.999999999999,32.3333333333333,78,73.3333333333333,80.3333333333333,80,7.79716214949152,0.47610389501909
31,365.666666666666,-929.999999999998,965.33333333333,-351.999999999999,31,78,80,78,80,7.79161428622736,0.452123350891085
32.3333333333333,413.666666666666,-1288.22222222222,1637.33333333333,-721.777777777776,32.3333333333333,78,76.6666666666667,80.3333333333333,73.3333333333333,7.79141773694286,0.473756395867252
33.6666666666667,346.777777777778,-892.222222222221,947.555555555555,-359.111111111111,33.6666666666667,78,80,78,76.6666666666667,7.78710938981283,0.487318930750481
31,458.111111111111,-1523.77777777778,1992.88888888889,-878.222222222221,31,78,73.3333333333333,80.3333333333333,80,7.7868092887117,0.458623612166731
33.6666666666667,439.222222222222,-1486,1975.11111111111,-885.333333333333,33.6666666666667,78,73.3333333333333,80.3333333333333,76.6666666666667,7.78235240723106,0.493818149006249
31,424.777777777777,-1319.33333333333,1672.88888888889,-735.999999999998,31,78,76.6666666666667,80.3333333333333,73.3333333333333,7.78106360976999,0.456275846759979
32.3333333333333,357.888888888889,-923.333333333332,983.11111111111,-373.333333333333,32.3333333333333,78,80,78,76.6666666666667,7.77676068449396,0.469837518713412
33.6666666666667,405.888888888889,-1281.55555555555,1655.11111111111,-743.11111111111,33.6666666666667,78,76.6666666666667,80.3333333333333,70,7.7762073943844,0.491470739382283
32.3333333333333,450.333333333333,-1517.11111111111,2010.66666666667,-899.555555555555,32.3333333333333,78,73.3333333333333,80.3333333333333,76.6666666666667,7.77199070239271,0.476337007318449
33.6666666666667,383.444444444444,-1121.11111111111,1320.88888888889,-536.888888888888,33.6666666666667,78,76.6666666666667,78,80,7.76736194994213,0.489899470335804
31,369,-954.444444444443,1018.66666666666,-387.555555555554,31,78,80,78,76.6666666666667,7.76641398663961,0.45235649919823
32.3333333333333,417,-1312.66666666666,1690.66666666666,-757.333333333331,32.3333333333333,78,76.6666666666667,80.3333333333333,70,7.76584994717463,0.473989510615997
33.6666666666667,350.111111111111,-916.666666666666,1000.88888888889,-394.666666666666,33.6666666666667,78,80,78,73.3333333333333,7.76167397790217,0.487552038483007
31,461.444444444444,-1548.22222222222,2046.22222222222,-913.777777777777,31,78,73.3333333333333,80.3333333333333,76.6666666666667,7.76163119387747,0.458856750327985
32.3333333333333,394.555555555555,-1152.22222222222,1356.44444444444,-551.111111111109,32.3333333333333,78,76.6666666666667,78,80,7.75700864254654,0.472418176581989
33.6666666666667,442.555555555555,-1510.44444444444,2028.44444444444,-920.888888888888,33.6666666666667,78,73.3333333333333,80.3333333333333,73.3333333333333,7.75692808908556,0.494051253071411
31,428.111111111111,-1343.77777777778,1726.22222222222,-771.555555555554,31,78,76.6666666666667,80.3333333333333,70,7.75549465846547,0.456508988517037
32.3333333333333,361.222222222222,-947.777777777776,1036.44444444444,-408.888888888888,32.3333333333333,78,80,78,73.3333333333333,7.75132398432402,0.470070637729606
31,405.666666666666,-1183.33333333333,1392,-565.333333333331,31,78,76.6666666666667,78,80,7.74665753890767,0.454937470285122
