a0,a1,a2,a3,a4,p1,p2,p3,p4,v_final,maxSlip
33.75,295.875,-659.249999999999,637.874999999999,-222.75,33.75,80,83,85.5,8.00113133917893,0.484843681939693
33.75,326.25,-795.937499999999,820.124999999999,-298.6875,33.75,80.75,81.5,85.5,8.0006882027596,0.487003492534251
33.75,356.625,-932.624999999999,1002.375,-374.625,33.75,81.5,80,85.5,8.00021474187644,0.489163291165179
31.25,366,-935.624999999999,992.249999999998,-367.874999999999,31.25,81.5,80.75,86,7.99964345561656,0.455572810494372
31.25,335.625,-798.937499999999,809.999999999999,-291.937499999999,31.25,80.75,82.25,86,7.99947991535393,0.453412686797046
31.25,349.375,-850.249999999999,867.374999999999,-312.75,31.25,81.5,81.5,85,7.99758411921778,0.45439492560458
32.5,368,-968.124999999999,1046.25,-392.624999999999,32.5,81.5,80,86,7.99605824007226,0.472841641422245
32.5,337.625,-831.437499999999,863.999999999998,-316.687499999999,32.5,80.75,81.5,86,7.99605251788369,0.470681758184987
33.75,356.25,-934.124999999999,1012.5,-381.374999999999,33.75,81.5,80.75,87,7.99570906136878,0.489135311364998
32.5,307.25,-694.749999999999,681.749999999998,-240.749999999999,32.5,80,83,86,7.99540550575645,0.468521853628949
33.75,342.875,-881.312499999998,944.999999999998,-353.812499999999,33.75,80.75,80.75,86.5,7.99499105667231,0.488181205216924
32.5,340.875,-848.812499999999,890.999999999998,-329.062499999999,32.5,80.75,81.5,86.5,7.99461774382596,0.470911714474302
32.5,321,-746.062499999999,739.124999999999,-261.5625,32.5,80.75,82.25,85,7.9943755646712,0.469503991838997
30,360.75,-885.749999999999,911.249999999999,-330.75,30,81.5,81.5,85.5,7.99413333303657,0.438072072320576
32.5,351.375,-882.749999999999,921.374999999999,-337.499999999999,32.5,81.5,80.75,85,7.99380068990185,0.471663886640294
33.75,346.125,-883.499999999999,941.624999999999,-351,33.75,81.5,81.5,87,7.99377439406914,0.48841749391225
33.75,339.625,-863.937499999999,917.999999999998,-341.437499999999,33.75,80.75,80.75,86,7.99254754366923,0.487951258937063
33.75,309.25,-727.249999999999,735.749999999998,-265.499999999999,33.75,80,82.25,86,7.99225582732204,0.485791453675028
33.75,366.375,-984.749999999999,1083.375,-411.75,33.75,81.5,80,87,7.99204359012627,0.489853127562762
33.75,292.625,-641.874999999999,610.874999999999,-210.375,33.75,80,83,85,7.99116138228338,0.484613733658944
31.25,338.875,-816.312499999999,836.999999999999,-304.312499999999,31.25,80.75,82.25,86.5,7.99086370025433,0.453642669166929
31.25,332.375,-781.562499999999,782.999999999999,-279.5625,31.25,80.75,82.25,85.5,7.99085767843365,0.453182704078998
33.75,323,-778.562499999999,793.124999999999,-286.3125,33.75,80.75,81.5,85,7.99058766027388,0.486773545566138
31.25,362.75,-918.249999999999,965.249999999999,-355.5,31.25,81.5,80.75,85.5,7.99038304636427,0.455342831013069
31.25,328.75,-765.687499999999,766.124999999999,-273.937499999999,31.25,80.75,83,86.5,7.99015800204583,0.452924736693626
33.75,353.375,-915.249999999999,975.374999999998,-362.249999999999,33.75,81.5,80,85,7.99002514933933,0.48893334544266
30,377.375,-971.124999999998,1036.125,-385.874999999999,30,81.5,80.75,86.5,7.98942038688123,0.43925015750085
31.25,379.375,-1003.625,1090.125,-410.624999999999,31.25,81.5,80,86.5,7.9876565813714,0.456520708692657
32.5,304,-677.374999999999,654.749999999999,-228.375,32.5,80,83,85.5,7.98756375787607,0.468291894787861
