a0,a1,a2,a3,a4,p1,p2,p3,p4,v_final,maxSlip
17,479.5,-1443.5,1660.5,-643.5,17,70,60,70,6.49811381299952,0.267689141019792
17,274.5,-643.5,715.499999999999,-283.5,17,60,70,80,6.49274625147493,0.252985870752767
14,299,-464.5,216.000000000001,-4.50000000000023,14,70,70,60,6.47804217063244,0.213307566443154
14,94.0000000000003,335.499999999998,-728.999999999998,355.499999999999,14,60,80,70,6.47502000169282,0.19857769912842
14,499,-1487,1701,-656.999999999999,14,70,60,70,6.46553716535744,0.228954835730765
14,294,-687,755.999999999999,-297,14,60,70,80,6.46026741333869,0.212847061700196
11,318.5,-508,256.5,-18.0000000000002,11,70,70,60,6.44558286355831,0.173284544227153
11,113.5,291.999999999998,-688.499999999998,341.999999999999,11,60,80,70,6.4426360242296,0.158300024387186
11,518.5,-1530.5,1741.5,-670.5,11,70,60,70,6.43297478449086,0.190180773030973
11,313.5,-730.499999999999,796.499999999999,-310.5,11,60,70,80,6.42780066144682,0.172719112380081
8,338,-551.5,297,-31.4999999999999,8,70,70,60,6.41313684051976,0.134340625694963
8,133,248.499999999998,-647.999999999998,328.499999999999,8,60,80,70,6.41026211262981,0.117910019469099
8,538,-1574,1782,-683.999999999999,8,70,60,70,6.40042681176949,0.151885803749054
8,333,-773.999999999999,836.999999999999,-324,8,60,70,80,6.39534444097012,0.133774235860641
20,-9.99999999999953,769.999999999998,-1350,629.999999999999,20,60,80,60,6.32166229299005,0.274165681394611
20,395,-1052.5,1080,-382.5,20,70,60,60,6.31214250571424,0.303076924783163
20,190,-252.5,135,-22.5000000000002,20,60,70,70,6.30721913699829,0.288393674710761
20,390,-1275,1620,-674.999999999999,20,60,60,80,6.29430302918261,0.302617747730516
17,9.50000000000045,726.499999999998,-1309.5,616.499999999999,17,60,80,60,6.28925993190112,0.234113134639485
17,414.5,-1096,1120.5,-396,17,70,60,60,6.27957327435455,0.263066779661301
17,209.5,-296,175.5,-36.0000000000001,17,60,70,70,6.27472979618475,0.248362131295259
17,409.5,-1318.5,1660.5,-688.499999999999,17,60,60,80,6.26172697157913,0.262606994849662
14,29.0000000000005,682.999999999998,-1269,602.999999999999,14,60,80,60,6.25687140171764,0.193945571821287
14,434,-1139.5,1161,-409.499999999999,14,70,60,60,6.24701996595865,0.223483544632731
14,229,-339.5,216,-49.5000000000002,14,60,70,70,6.24225792817254,0.208216271079374
14,429,-1362,1701,-701.999999999999,14,60,60,80,6.22916795430416,0.222919251310141
11,48.5000000000005,639.499999999998,-1228.5,589.499999999999,11,60,80,60,6.22449496570301,0.153661055509616
11,453.5,-1183,1201.5,-422.999999999999,11,70,60,60,6.21448153531096,0.184698997710303
11,248.5,-383,256.5,-63.0000000000001,11,60,70,70,6.20980292530091,0.167952907963947
11,448.5,-1405.5,1741.5,-715.499999999999,11,60,60,80,6.19662458069303,0.184133722799345
8,68.0000000000004,595.999999999998,-1188,575.999999999999,8,60,80,60,6.19212713154954,0.113264805342496
8,473,-1226.5,1242,-436.5,8,70,60,60,6.18195769043019,0.145776569100651
8,268,-426.5,297,-76.5000000000002,8,60,70,70,6.17736919980653,0.128279670028883
8,468,-1449,1782,-728.999999999999,8,60,60,80,6.16409485680452,0.145210324934885
